car_id,probeID,car_id,passenger_id,timestamp,longitude,latitude,shape,easting,northing
143,143,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295432,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
144,144,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295435,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
145,145,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295438,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
146,146,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295441,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
147,147,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295444,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
148,148,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295447,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
149,149,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295450,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
150,150,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295453,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
151,151,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295456,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
152,152,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295459,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
153,153,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295462,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
154,154,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295465,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
155,155,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295468,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
156,156,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295471,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
157,157,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295474,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
158,158,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295477,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
159,159,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295480,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
160,160,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295483,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
161,161,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295486,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
162,162,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295489,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
163,163,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295492,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
164,164,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295495,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
165,165,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295498,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
166,166,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295501,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
167,167,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295504,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
168,168,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295507,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
169,169,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295510,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
170,170,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295513,108.97223000000001,34.27173,POINT (108.97223 34.27173),313323.83779137174,3794146.1709379046
171,171,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295516,108.97223000000001,34.271570000000004,POINT (108.97223 34.27157),313323.48398720776,3794128.425571401
172,172,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295519,108.97223000000001,34.271440000000005,POINT (108.97223 34.27144000000001),313323.19652239804,3794114.007461415
173,173,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295522,108.97223000000001,34.27134,POINT (108.97223 34.27134),313322.97539627634,3794102.9166077636
174,174,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295525,108.97223000000001,34.27124,POINT (108.97223 34.27124),313322.75427072414,3794091.825754267
175,175,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295528,108.97223999999999,34.2711,POINT (108.97224 34.2711),313323.36544281046,3794076.280202248
176,176,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295531,108.97223999999999,34.27094,POINT (108.97224 34.27094),313323.0116461343,3794058.5348373824
177,177,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295534,108.97223999999999,34.270790000000005,POINT (108.97224 34.27079000000001),313322.6799630747,3794041.8985581915
178,178,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295537,108.97223999999999,34.270790000000005,POINT (108.97224 34.27079000000001),313322.6799630747,3794041.8985581915
179,179,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295540,108.97223999999999,34.270790000000005,POINT (108.97224 34.27079000000001),313322.6799630747,3794041.8985581915
